tile_x,tile_y,zoom,yard_name
67831,46400,17,Yard_3
67832,46400,17,Yard_3
67831,46401,17,Yard_3
67830,46400,17,Yard_3
67832,46399,17,Yard_3
67831,46402,17,Yard_3
67830,46401,17,Yard_3
67833,46399,17,Yard_3
67830,46402,17,Yard_3
67833,46398,17,Yard_3
67830,46403,17,Yard_3
67829,46402,17,Yard_3
67834,46398,17,Yard_3
67829,46403,17,Yard_3
67829,46404,17,Yard_3
67828,46403,17,Yard_3
67828,46404,17,Yard_3
67827,46403,17,Yard_3
67828,46405,17,Yard_3
67827,46404,17,Yard_3
67827,46402,17,Yard_3
67826,46403,17,Yard_3
67827,46405,17,Yard_3
67826,46404,17,Yard_3
67826,46405,17,Yard_3
67825,46404,17,Yard_3
67826,46406,17,Yard_3
67825,46405,17,Yard_3
67825,46406,17,Yard_3
67824,46405,17,Yard_3
